popularity,danceability,energy,speechiness,acousticness,liveness,valence,release_date,song_name
[72,0.774,0.905,0.122,0.143,0.332,0.768,2022,"Talk that Talk""]"
[53,0.658,0.848,0.107,0.0909,0.0728,0.816,2022,"Queen of Hearts""]"
[50,0.779,0.795,0.215,0.24,0.126,0.587,2022,"Basics""]"
[47,0.758,0.895,0.109,0.0493,0.0539,0.551,2022,"Trouble""]"
[47,0.639,0.887,0.0482,0.0756,0.218,0.661,2022,"Brave""]"
[46,0.712,0.808,0.0814,0.317,0.0574,0.819,2022,"Gone""]"
[46,0.683,0.651,0.0786,0.352,0.114,0.534,2022,"When We Were Kids""]"
[83,0.772,0.907,0.124,0.136,0.334,0.783,2022,"Talk that Talk""]"
[67,0.666,0.847,0.106,0.102,0.0702,0.815,2022,"Queen of Hearts""]"
[69,0.778,0.8,0.227,0.254,0.139,0.585,2022,"Basics""]"
[61,0.757,0.875,0.126,0.0528,0.0427,0.571,2022,"Trouble""]"
[62,0.639,0.884,0.0483,0.0778,0.178,0.663,2022,"Brave""]"
[61,0.716,0.799,0.0755,0.327,0.0576,0.836,2022,"Gone""]"
[60,0.681,0.659,0.0813,0.34,0.109,0.537,2022,"When We Were Kids""]"
[63,0.776,0.89,0.0573,0.0628,0.0634,0.864,2022,"Celebrate""]"
[48,0.722,0.871,0.118,0.148,0.0387,0.756,2022,"Voices of Delight""]"
[49,0.737,0.789,0.073,0.11,0.303,0.607,2022,"TICK TOCK""]"
[48,0.754,0.802,0.0772,0.303,0.0734,0.844,2022,"Flow like waves""]"
[49,0.741,0.748,0.0547,0.0945,0.334,0.764,2022,"That's all I'm saying""]"
[49,0.602,0.761,0.0869,0.21,0.116,0.684,2022,"Bitter Sweet""]"
[49,0.816,0.803,0.0577,0.179,0.0522,0.883,2022,"Sandcastle""]"
[48,0.609,0.762,0.0785,0.0472,0.407,0.346,2022,"Just be yourself""]"
[62,0.693,0.586,0.0315,0.233,0.145,0.459,2022,"Doughnut""]"
[25,0.776,0.89,0.0573,0.0628,0.0634,0.864,2022,"Celebrate""]"
[11,0.722,0.871,0.118,0.148,0.0387,0.756,2022,"Voices of Delight""]"
[11,0.737,0.789,0.073,0.11,0.303,0.607,2022,"TICK TOCK""]"
[11,0.754,0.802,0.0772,0.303,0.0734,0.844,2022,"Flow like waves""]"
[11,0.741,0.748,0.0547,0.0945,0.334,0.764,2022,"That's all I'm saying""]"
[10,0.602,0.761,0.0869,0.21,0.116,0.684,2022,"Bitter Sweet""]"
[11,0.816,0.803,0.0577,0.179,0.0522,0.883,2022,"Sandcastle""]"
[16,0.618,0.756,0.0693,0.0485,0.0887,0.36,2022,"Just be yourself""]"
[19,0.688,0.583,0.033,0.206,0.147,0.456,2022,"Doughnut""]"
[58,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[45,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[44,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[42,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[43,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[41,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[43,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[42,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[46,0.665,0.732,0.173,0.768,0.378,0.436,2021,"REWIND""]"
[42,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"CACTUS""]"
[42,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[44,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[43,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[43,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[61,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[41,0.753,0.956,0.119,0.057,0.152,0.556,2021,"SCIENTIST - R3HAB Remix""]"
[34,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[18,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[15,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[14,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[13,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[12,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[17,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[13,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[16,0.665,0.732,0.173,0.768,0.378,0.436,2021,"�� �� �아 (REWIND)""]"
[14,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"�� (CACTUS)""]"
[15,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[15,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[16,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[15,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[35,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[11,0.753,0.956,0.119,0.057,0.152,0.556,2021,"SCIENTIST (R3HAB Remix)""]"
[70,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[64,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[62,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[58,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[55,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[57,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[61,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[58,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[64,0.665,0.732,0.173,0.768,0.378,0.436,2021,"REWIND""]"
[55,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"CACTUS""]"
[58,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[61,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[58,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[56,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[77,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[50,0.755,0.955,0.121,0.0576,0.186,0.622,2021,"SCIENTIST (R3HAB Remix)""]"
[66,0.684,0.877,0.0611,0.0477,0.344,0.599,2021,"Perfect World""]"
[57,0.768,0.698,0.046,0.00123,0.353,0.584,2021,"BETTER""]"
[53,0.745,0.684,0.0568,0.0513,0.117,0.37,2021,"Good at Love""]"
[55,0.669,0.956,0.126,0.0302,0.0764,0.81,2021,"Fanfare""]"
[58,0.734,0.714,0.0986,0.166,0.0648,0.761,2021,"Kura Kura""]"
[51,0.806,0.85,0.13,0.076,0.144,0.772,2021,"Four-leaf Clover""]"
[50,0.792,0.846,0.144,0.0402,0.327,0.55,2021,"In the summer""]"
[51,0.763,0.767,0.0384,0.236,0.34,0.727,2021,"PIECES OF LOVE""]"
[51,0.568,0.553,0.045,0.181,0.0638,0.502,2021,"Thank you, Family""]"
[51,0.581,0.42,0.03,0.818,0.116,0.317,2021,"PROMISE""]"
[18,0.678,0.881,0.0604,0.0479,0.325,0.61,2021,"Perfect World""]"
[13,0.767,0.707,0.0437,0.00105,0.29,0.582,2021,"BETTER""]"
[9,0.745,0.684,0.0568,0.0513,0.117,0.37,2021,"Good at Love""]"
[12,0.675,0.954,0.12,0.0238,0.0767,0.801,2021,"Fanfare""]"
[12,0.736,0.715,0.106,0.167,0.0628,0.763,2021,"Kura Kura""]"
[8,0.806,0.85,0.13,0.076,0.144,0.772,2021,"Four-leaf Clover""]"
[11,0.792,0.846,0.144,0.0402,0.327,0.55,2021,"In the summer""]"
[8,0.763,0.767,0.0384,0.236,0.34,0.727,2021,"PIECES OF LOVE""]"
[8,0.568,0.553,0.045,0.181,0.0638,0.502,2021,"Thank you, Family""]"
[9,0.581,0.42,0.03,0.818,0.116,0.317,2021,"PROMISE""]"
[60,0.657,0.88,0.102,0.121,0.463,0.769,2020,"I CAN'T STOP ME""]"
[37,0.8,0.81,0.0604,0.182,0.107,0.694,2020,"HELL IN HEAVEN""]"
[42,0.709,0.88,0.0585,0.0298,0.103,0.713,2020,"UP NO MORE""]"
[37,0.78,0.896,0.0614,0.0101,0.091,0.715,2020,"DO WHAT WE LIKE""]"
[34,0.842,0.638,0.0684,0.207,0.118,0.606,2020,"BRING IT BACK""]"
[35,0.669,0.84,0.0599,0.0294,0.663,0.483,2020,"BELIEVER""]"
[40,0.629,0.837,0.258,0.139,0.107,0.423,2020,"QUEEN""]"
[36,0.791,0.852,0.0449,0.296,0.0999,0.509,2020,"GO HARD""]"
[36,0.79,0.927,0.141,0.108,0.357,0.553,2020,"SHOT CLOCK""]"
[34,0.509,0.574,0.262,0.533,0.0898,0.69,2020,"HANDLE IT""]"
[36,0.676,0.597,0.0387,0.0953,0.455,0.522,2020,"DEPEND ON YOU""]"
[35,0.713,0.841,0.0622,0.0859,0.0646,0.723,2020,"SAY SOMETHING""]"
[34,0.362,0.813,0.113,0.0689,0.195,0.346,2020,"BEHIND THE MASK""]"
[76,0.657,0.88,0.102,0.121,0.463,0.769,2020,"I CAN'T STOP ME""]"
[56,0.8,0.81,0.0604,0.182,0.107,0.694,2020,"HELL IN HEAVEN""]"
[61,0.709,0.88,0.0585,0.0298,0.103,0.713,2020,"UP NO MORE""]"
[51,0.78,0.896,0.0614,0.0101,0.091,0.715,2020,"DO WHAT WE LIKE""]"
[50,0.842,0.638,0.0684,0.207,0.118,0.606,2020,"BRING IT BACK""]"
[50,0.669,0.84,0.0599,0.0294,0.663,0.483,2020,"BELIEVER""]"
[54,0.629,0.837,0.258,0.139,0.107,0.423,2020,"QUEEN""]"
[54,0.791,0.852,0.0449,0.296,0.0999,0.509,2020,"GO HARD""]"
[53,0.79,0.927,0.141,0.108,0.357,0.553,2020,"SHOT CLOCK""]"
[51,0.509,0.574,0.262,0.533,0.0898,0.69,2020,"HANDLE IT""]"
[51,0.676,0.597,0.0387,0.0953,0.455,0.522,2020,"DEPEND ON YOU""]"
[55,0.713,0.841,0.0622,0.0859,0.0646,0.723,2020,"SAY SOMETHING""]"
[50,0.362,0.813,0.113,0.0689,0.195,0.346,2020,"BEHIND THE MASK""]"
[54,0.739,0.841,0.06,0.0312,0.173,0.562,2020,"MORE & MORE""]"
[38,0.775,0.87,0.0576,0.0564,0.273,0.501,2020,"OXYGEN""]"
[35,0.7,0.92,0.0536,0.115,0.701,0.685,2020,"FIREWORK""]"
[36,0.818,0.633,0.0611,0.00539,0.0446,0.814,2020,"MAKE ME GO""]"
[34,0.696,0.751,0.161,0.138,0.282,0.478,2020,"SHADOW""]"
[33,0.516,0.902,0.175,0.00146,0.112,0.613,2020,"DON'T CALL ME AGAIN""]"
[35,0.707,0.95,0.0645,0.0187,0.35,0.589,2020,"SWEET SUMMER DAY""]"
[67,0.739,0.841,0.06,0.0312,0.173,0.562,2020,"MORE & MORE""]"
[51,0.775,0.87,0.0576,0.0564,0.273,0.501,2020,"OXYGEN""]"
[49,0.7,0.92,0.0536,0.115,0.701,0.685,2020,"FIREWORK""]"
[51,0.818,0.633,0.0611,0.00539,0.0446,0.814,2020,"MAKE ME GO""]"
[49,0.696,0.751,0.161,0.138,0.282,0.478,2020,"SHADOW""]"
[45,0.516,0.902,0.175,0.00146,0.112,0.613,2020,"DON’T CALL ME AGAIN""]"
[47,0.707,0.95,0.0645,0.0187,0.35,0.589,2020,"SWEET SUMMER DAY""]"
[35,0.709,0.741,0.0572,0.0216,0.111,0.702,2020,"SWING""]"
[27,0.678,0.808,0.0599,0.0569,0.288,0.765,2020,"Fake & True""]"
[20,0.832,0.9,0.0647,0.0217,0.315,0.962,2020,"Stronger""]"
[26,0.868,0.728,0.11,0.0439,0.0975,0.616,2020,"Breakthrough""]"
[29,0.832,0.904,0.0729,0.261,0.0932,0.81,2020,"Changing!""]"
[25,0.609,0.932,0.145,0.173,0.396,0.755,2020,"HAPPY HAPPY""]"
[21,0.754,0.91,0.0735,0.024,0.302,0.695,2020,"What You Waiting For""]"
[19,0.854,0.714,0.149,0.0305,0.0413,0.634,2020,"Be OK""]"
[24,0.642,0.874,0.206,0.114,0.0397,0.888,2020,"POLISH""]"
[19,0.677,0.745,0.0463,0.0237,0.0541,0.43,2020,"How u doin'""]"
[23,0.657,0.643,0.0279,0.116,0.336,0.536,2020,"The Reason Why""]"
[41,0.709,0.741,0.0572,0.0216,0.111,0.702,2020,"SWING""]"
[38,0.678,0.808,0.0599,0.0569,0.288,0.765,2020,"Fake & True""]"
[32,0.832,0.9,0.0647,0.0217,0.315,0.962,2020,"Stronger""]"
[38,0.868,0.728,0.11,0.0439,0.0975,0.616,2020,"Breakthrough""]"
[33,0.832,0.904,0.0729,0.261,0.0932,0.81,2020,"Changing!""]"
[34,0.609,0.932,0.145,0.173,0.396,0.755,2020,"HAPPY HAPPY""]"
[34,0.754,0.91,0.0735,0.024,0.302,0.695,2020,"What You Waiting For""]"
[31,0.854,0.714,0.149,0.0305,0.0413,0.634,2020,"Be OK""]"
[32,0.642,0.874,0.206,0.114,0.0397,0.888,2020,"POLISH""]"
[31,0.677,0.745,0.0463,0.0237,0.0541,0.43,2020,"How u doin'""]"
[35,0.657,0.643,0.0279,0.116,0.336,0.536,2020,"The Reason Why""]"
[49,0.678,0.808,0.0599,0.0569,0.288,0.765,2019,"Fake & True""]"
[38,0.832,0.9,0.0647,0.0217,0.315,0.962,2019,"Stronger""]"
[54,0.868,0.728,0.11,0.0439,0.0975,0.616,2019,"Breakthrough""]"
[40,0.832,0.904,0.0729,0.261,0.0932,0.81,2019,"Changing!""]"
[40,0.609,0.932,0.145,0.173,0.396,0.755,2019,"HAPPY HAPPY""]"
[41,0.754,0.91,0.0735,0.024,0.302,0.695,2019,"What You Waiting For""]"
[37,0.854,0.714,0.149,0.0305,0.0413,0.634,2019,"Be OK""]"
[39,0.642,0.874,0.206,0.114,0.0397,0.888,2019,"POLISH""]"
[36,0.677,0.745,0.0463,0.0237,0.0541,0.43,2019,"How u doin'""]"
[44,0.657,0.643,0.0279,0.116,0.336,0.536,2019,"The Reason Why""]"
[43,0.678,0.808,0.0599,0.0569,0.288,0.765,2019,"Fake & True""]"
[28,0.832,0.9,0.0647,0.0217,0.315,0.962,2019,"Stronger""]"
[31,0.868,0.728,0.11,0.0439,0.0975,0.616,2019,"Breakthrough""]"
[30,0.832,0.904,0.0729,0.261,0.0932,0.81,2019,"Changing!""]"
[32,0.609,0.932,0.145,0.173,0.396,0.755,2019,"HAPPY HAPPY""]"
[27,0.754,0.91,0.0735,0.024,0.302,0.695,2019,"What You Waiting For""]"
[27,0.854,0.714,0.149,0.0305,0.0413,0.634,2019,"Be OK""]"
[33,0.642,0.874,0.206,0.114,0.0397,0.888,2019,"POLISH""]"
[27,0.677,0.745,0.0463,0.0237,0.0541,0.43,2019,"How u doin'""]"
[33,0.657,0.643,0.0279,0.116,0.336,0.536,2019,"The Reason Why""]"
[60,0.709,0.959,0.0603,0.0296,0.107,0.644,2019,"Feel Special""]"
[38,0.776,0.844,0.167,0.0203,0.14,0.716,2019,"RAINBOW""]"
[40,0.727,0.956,0.0725,0.046,0.338,0.851,2019,"GET LOUD""]"
[37,0.756,0.897,0.078,0.0895,0.14,0.619,2019,"TRICK IT""]"
[47,0.72,0.836,0.1,0.11,0.0575,0.623,2019,"LOVE FOOLISH""]"
[33,0.654,0.725,0.03,0.114,0.376,0.588,2019,"0.895138888888889""]"
[31,0.866,0.722,0.127,0.0486,0.0926,0.68,2019,"BREAKTHROUGH - Korean Ver.""]"
[72,0.708,0.959,0.0604,0.0296,0.107,0.644,2019,"Feel Special""]"
[48,0.771,0.849,0.129,0.0236,0.144,0.761,2019,"RAINBOW""]"
[53,0.729,0.953,0.0774,0.0464,0.338,0.847,2019,"GET LOUD""]"
[50,0.752,0.896,0.0742,0.0867,0.135,0.659,2019,"TRICK IT""]"
[57,0.721,0.84,0.0971,0.118,0.0576,0.577,2019,"LOVE FOOLISH""]"
[50,0.531,0.727,0.0427,0.126,0.429,0.616,2019,"0.895138888888889""]"
[44,0.865,0.715,0.122,0.0434,0.12,0.676,2019,"BREAKTHROUGH (Korean Version)""]"
[47,0.706,0.895,0.0502,0.0669,0.237,0.562,2018,"STAY BY MY SIDE""]"
[41,0.715,0.862,0.0444,0.0113,0.108,0.668,2018,"BDZ""]"
[35,0.74,0.928,0.0633,0.00288,0.319,0.671,2018,"One More Time""]"
[38,0.599,0.943,0.0894,0.177,0.141,0.84,2018,"Candy Pop""]"
[34,0.806,0.858,0.0715,0.053,0.109,0.871,2018,"L.O.V.E""]"
[37,0.516,0.719,0.0458,0.16,0.0541,0.433,2018,"Wishing""]"
[34,0.751,0.838,0.137,0.279,0.0673,0.579,2018,"Say it again""]"
[34,0.656,0.994,0.0807,0.209,0.318,0.795,2018,"Wake Me Up""]"
[33,0.674,0.965,0.0696,0.016,0.145,0.75,2018,"BRAND NEW GIRL""]"
[38,0.613,0.558,0.0361,0.465,0.0975,0.358,2018,"Be as ONE""]"
[35,0.713,0.848,0.0338,0.0148,0.0808,0.787,2018,"I WANT YOU BACK""]"
[40,0.72,0.655,0.0248,0.383,0.156,0.468,2018,"The Best Thing I Ever Did""]"
[30,0.671,0.593,0.0376,0.572,0.0901,0.353,2018,"Be as ONE - Korean Ver.""]"
[32,0.702,0.913,0.0374,0.0514,0.166,0.735,2018,"YES or YES""]"
[20,0.79,0.889,0.0651,0.303,0.0677,0.925,2018,"SAY YOU LOVE ME""]"
[19,0.696,0.872,0.077,0.315,0.229,0.836,2018,"LALALA""]"
[16,0.583,0.647,0.189,0.129,0.435,0.299,2018,"YOUNG & WILD""]"
[17,0.535,0.911,0.148,0.319,0.559,0.794,2018,"SUNSET""]"
[21,0.692,0.645,0.0338,0.511,0.122,0.372,2018,"AFTER MOON""]"
[21,0.722,0.866,0.052,0.0154,0.11,0.659,2018,"BDZ - Korean Ver.""]"
[53,0.72,0.655,0.0248,0.383,0.156,0.468,2018,"The Best Thing I Ever Did""]"
[43,0.671,0.591,0.0366,0.54,0.103,0.373,2018,"Be as ONE (Korean Version)""]"
[45,0.706,0.926,0.0375,0.0597,0.162,0.747,2018,"YES or YES""]"
[33,0.792,0.898,0.0661,0.307,0.0727,0.929,2018,"SAY YOU LOVE ME""]"
[32,0.698,0.874,0.0779,0.312,0.177,0.807,2018,"LALALA""]"
[30,0.786,0.644,0.116,0.131,0.32,0.31,2018,"YOUNG & WILD""]"
[33,0.524,0.907,0.212,0.325,0.56,0.783,2018,"SUNSET""]"
[34,0.451,0.65,0.082,0.572,0.121,0.413,2018,"AFTER MOON""]"
[35,0.727,0.87,0.0496,0.0158,0.11,0.656,2018,"BDZ (Korean Version)""]"
