popularity,danceability,energy,speechiness,acousticness,liveness,valence,release_date,song_name
[57,0.702,0.913,0.0374,0.0514,0.166,0.735,2018,"YES or YES""]"
[37,0.79,0.889,0.0651,0.303,0.0677,0.925,2018,"SAY YOU LOVE ME""]"
[33,0.696,0.872,0.077,0.315,0.229,0.836,2018,"LALALA""]"
[28,0.583,0.647,0.189,0.129,0.435,0.299,2018,"YOUNG & WILD""]"
[29,0.535,0.911,0.148,0.319,0.559,0.794,2018,"SUNSET""]"
[33,0.692,0.645,0.0338,0.511,0.122,0.372,2018,"AFTER MOON""]"
[30,0.722,0.866,0.052,0.0154,0.11,0.659,2018,"BDZ - Korean Ver.""]"
[69,0.702,0.913,0.0374,0.0514,0.166,0.735,2018,"YES or YES""]"
[48,0.792,0.889,0.0706,0.308,0.0685,0.913,2018,"SAY YOU LOVE ME""]"
[44,0.694,0.872,0.0722,0.296,0.196,0.834,2018,"LALALA""]"
[41,0.803,0.621,0.105,0.119,0.31,0.305,2018,"YOUNG & WILD""]"
[45,0.519,0.91,0.204,0.326,0.573,0.765,2018,"SUNSET""]"
[45,0.415,0.664,0.0689,0.576,0.123,0.462,2018,"AFTER MOON""]"
[36,0.731,0.865,0.0491,0.0124,0.105,0.701,2018,"BDZ""]"
[59,0.715,0.862,0.0444,0.0113,0.108,0.668,2018,"BDZ""]"
[49,0.74,0.928,0.0633,0.00288,0.319,0.671,2018,"One More Time""]"
[55,0.599,0.943,0.0894,0.177,0.141,0.84,2018,"Candy Pop""]"
[43,0.806,0.858,0.0715,0.053,0.109,0.871,2018,"L.O.V.E""]"
[47,0.516,0.719,0.0458,0.16,0.0541,0.433,2018,"Wishing""]"
[41,0.751,0.838,0.137,0.279,0.0673,0.579,2018,"Say it again""]"
[49,0.656,0.994,0.0807,0.209,0.318,0.795,2018,"Wake Me Up""]"
[42,0.674,0.965,0.0696,0.016,0.145,0.75,2018,"BRAND NEW GIRL""]"
[49,0.613,0.558,0.0361,0.465,0.0975,0.358,2018,"Be as ONE""]"
[51,0.713,0.848,0.0338,0.0148,0.0808,0.787,2018,"I WANT YOU BACK""]"
[56,0.711,0.861,0.0924,0.106,0.112,0.78,2018,"Dance The Night Away""]"
[36,0.782,0.831,0.0624,0.144,0.0694,0.788,2018,"CHILLAX""]"
[29,0.671,0.852,0.0439,0.0747,0.524,0.245,2018,"Shot thru the heart""]"
[59,0.573,0.91,0.064,0.0846,0.266,0.602,2018,"What is Love?""]"
[35,0.673,0.967,0.062,0.0817,0.133,0.826,2018,"SWEET TALKER""]"
[31,0.765,0.891,0.1,0.0898,0.018,0.977,2018,"HO!""]"
[26,0.65,0.787,0.0524,0.0135,0.109,0.526,2018,"DEJAVU""]"
[31,0.625,0.68,0.0784,0.233,0.226,0.399,2018,"SAY YES""]"
[34,0.563,0.806,0.05,0.0494,0.181,0.626,2018,"STUCK""]"
[69,0.709,0.861,0.0941,0.106,0.113,0.779,2018,"Dance The Night Away""]"
[49,0.786,0.832,0.0592,0.134,0.0575,0.741,2018,"CHILLAX""]"
[44,0.669,0.847,0.0413,0.0775,0.594,0.263,2018,"Shot Thru The Heart""]"
[76,0.574,0.909,0.0658,0.0987,0.264,0.569,2018,"What is Love""]"
[45,0.677,0.97,0.0653,0.0695,0.153,0.798,2018,"SWEET TALKER""]"
[45,0.766,0.895,0.0979,0.105,0.0242,0.974,2018,"HO!""]"
[41,0.637,0.793,0.0649,0.0129,0.0895,0.509,2018,"DEJAVU""]"
[45,0.634,0.673,0.0785,0.238,0.226,0.366,2018,"SAY YES""]"
[47,0.564,0.795,0.0537,0.0544,0.142,0.573,2018,"STUCK""]"
[54,0.563,0.945,0.0635,0.0949,0.216,0.865,2017,"Heart Shaker""]"
[54,0.709,0.62,0.0387,0.425,0.0822,0.658,2017,"Merry & Happy""]"
[31,0.723,0.898,0.0354,0.431,0.136,0.394,2017,"LIKEY""]"
[28,0.729,0.804,0.135,0.553,0.15,0.609,2017,"TURTLE""]"
[25,0.805,0.702,0.054,0.212,0.112,0.833,2017,"MISSING U""]"
[21,0.776,0.915,0.151,0.355,0.0537,0.909,2017,"WOW""]"
[22,0.71,0.946,0.0465,0.125,0.282,0.895,2017,"FFW""]"
[21,0.658,0.879,0.0531,0.0557,0.233,0.824,2017,"DING DONG""]"
[23,0.879,0.766,0.0728,0.0743,0.401,0.558,2017,"44766""]"
[24,0.72,0.909,0.0389,0.146,0.0675,0.662,2017,"LOOK AT ME""]"
[21,0.886,0.62,0.0428,0.0402,0.273,0.272,2017,"ROLLIN'""]"
[21,0.696,0.784,0.0437,0.251,0.11,0.542,2017,"LOVE LINE""]"
[20,0.838,0.658,0.0456,0.0574,0.124,0.414,2017,"DON'T GIVE UP""]"
[25,0.692,0.867,0.0331,0.286,0.109,0.382,2017,"YOU IN MY HEART""]"
[23,0.721,0.396,0.0344,0.848,0.0911,0.359,2017,"JALJAYO GOOD NIGHT""]"
[65,0.564,0.944,0.0647,0.105,0.154,0.857,2017,"Heart Shaker""]"
[56,0.716,0.63,0.0377,0.403,0.0817,0.666,2017,"Merry & Happy""]"
[44,0.72,0.904,0.0332,0.437,0.117,0.428,2017,"Likey""]"
[37,0.729,0.808,0.135,0.523,0.16,0.623,2017,"Turtle""]"
[35,0.808,0.71,0.0482,0.22,0.112,0.849,2017,"Missing U""]"
[32,0.775,0.914,0.149,0.355,0.0547,0.922,2017,"Wow""]"
[32,0.711,0.949,0.0431,0.126,0.296,0.928,2017,"Ffw""]"
[31,0.661,0.881,0.051,0.0525,0.224,0.801,2017,"Ding Dong""]"
[33,0.877,0.744,0.0705,0.0678,0.387,0.548,2017,"44766""]"
[33,0.719,0.913,0.0386,0.165,0.0687,0.635,2017,"Look At Me""]"
[35,0.883,0.638,0.044,0.0512,0.279,0.263,2017,"Rollin'""]"
[33,0.692,0.761,0.0456,0.269,0.105,0.495,2017,"Love Line""]"
[30,0.828,0.663,0.0477,0.0592,0.155,0.465,2017,"Don't Give Up""]"
[33,0.689,0.858,0.0331,0.291,0.109,0.421,2017,"You In My Heart""]"
[37,0.723,0.392,0.0333,0.851,0.0961,0.361,2017,"Jaljayo Good Night""]"
[31,0.565,0.945,0.064,0.0967,0.177,0.841,2017,"Heart Shaker""]"
[34,0.709,0.62,0.0387,0.425,0.0822,0.658,2017,"Merry & Happy""]"
[11,0.717,0.91,0.0344,0.399,0.129,0.437,2017,"LIKEY""]"
[9,0.726,0.817,0.137,0.542,0.135,0.596,2017,"����� / TURTLE""]"
[4,0.806,0.724,0.0468,0.247,0.113,0.855,2017,"MISSING U""]"
[5,0.775,0.921,0.14,0.373,0.0534,0.921,2017,"WOW""]"
[4,0.705,0.947,0.0452,0.127,0.295,0.906,2017,"FFW""]"
[3,0.662,0.88,0.0486,0.0555,0.126,0.823,2017,"DING DONG""]"
[4,0.876,0.765,0.0672,0.0772,0.385,0.536,2017,"44766""]"
[4,0.719,0.914,0.0367,0.166,0.0638,0.631,2017," ��라��라� / LOOK AT ME""]"
[4,0.887,0.649,0.0444,0.0429,0.279,0.245,2017,"ROLLIN�""]"
[3,0.696,0.771,0.0442,0.242,0.108,0.504,2017,"LOVE LINE""]"
[3,0.84,0.679,0.0466,0.0615,0.121,0.422,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP""]"
[3,0.686,0.865,0.0327,0.31,0.109,0.406,2017," �� � / YOU IN MY HEART""]"
[3,0.718,0.401,0.0333,0.84,0.0969,0.376,2017,"�자 ���잇 / JALJAYO GOOD NIGHT""]"
[52,0.723,0.898,0.0354,0.431,0.136,0.394,2017,"LIKEY""]"
[41,0.729,0.804,0.135,0.553,0.15,0.609,2017,"TURTLE""]"
[32,0.805,0.702,0.054,0.212,0.112,0.833,2017,"MISSING U""]"
[25,0.776,0.915,0.151,0.355,0.0537,0.909,2017,"WOW""]"
[26,0.71,0.946,0.0465,0.125,0.282,0.895,2017,"FFW""]"
[25,0.658,0.879,0.0531,0.0557,0.233,0.824,2017,"DING DONG""]"
[29,0.879,0.766,0.0728,0.0743,0.401,0.558,2017,"44766""]"
[36,0.72,0.909,0.0389,0.146,0.0675,0.662,2017,"LOOK AT ME""]"
[29,0.886,0.62,0.0428,0.0402,0.273,0.272,2017,"ROLLIN'""]"
[31,0.696,0.784,0.0437,0.251,0.11,0.542,2017,"LOVE LINE""]"
[25,0.838,0.658,0.0456,0.0574,0.124,0.414,2017,"DON'T GIVE UP""]"
[34,0.692,0.867,0.0331,0.286,0.109,0.382,2017,"YOU IN MY HEART""]"
[30,0.721,0.396,0.0344,0.848,0.0911,0.359,2017,"JALJAYO GOOD NIGHT""]"
[28,0.717,0.91,0.0344,0.399,0.129,0.437,2017,"LIKEY""]"
[17,0.726,0.817,0.137,0.542,0.135,0.596,2017,"����� / TURTLE""]"
[8,0.806,0.724,0.0468,0.247,0.113,0.855,2017,"MISSING U""]"
[6,0.775,0.921,0.14,0.373,0.0534,0.921,2017,"WOW""]"
[6,0.705,0.947,0.0452,0.127,0.295,0.906,2017,"FFW""]"
[5,0.662,0.88,0.0486,0.0555,0.126,0.823,2017,"DING DONG""]"
[7,0.876,0.765,0.0672,0.0772,0.385,0.536,2017,"44766""]"
[9,0.719,0.914,0.0367,0.166,0.0638,0.631,2017," ��라��라� / LOOK AT ME""]"
[7,0.887,0.649,0.0444,0.0429,0.279,0.245,2017,"ROLLIN�""]"
[6,0.696,0.771,0.0442,0.242,0.108,0.504,2017,"LOVE LINE""]"
[5,0.84,0.679,0.0466,0.0615,0.121,0.422,2017,"_�내! (DON’T GIVE UP) / DON’T GIVE UP""]"
[8,0.686,0.865,0.0327,0.31,0.109,0.406,2017," �� � / YOU IN MY HEART""]"
[7,0.718,0.401,0.0333,0.84,0.0969,0.376,2017,"�자 ���잇 / JALJAYO GOOD NIGHT""]"
[68,0.723,0.903,0.033,0.413,0.118,0.443,2017,"Likey""]"
[52,0.741,0.809,0.135,0.553,0.142,0.615,2017,"Turtle""]"
[45,0.807,0.704,0.0475,0.215,0.108,0.856,2017,"Missing U""]"
[39,0.776,0.917,0.157,0.355,0.0532,0.928,2017,"Wow""]"
[40,0.707,0.946,0.045,0.14,0.299,0.916,2017,"Ffw""]"
[39,0.661,0.871,0.0534,0.0581,0.24,0.811,2017,"Ding Dong""]"
[43,0.878,0.749,0.0682,0.0741,0.404,0.531,2017,"44766""]"
[47,0.719,0.909,0.0365,0.156,0.0655,0.665,2017,"Look At Me""]"
[47,0.882,0.629,0.0446,0.0462,0.28,0.244,2017,"Rollin'""]"
[45,0.697,0.767,0.0444,0.226,0.108,0.518,2017,"Love Line""]"
[38,0.839,0.668,0.0474,0.0629,0.132,0.452,2017,"Don't Give Up""]"
[44,0.687,0.858,0.0328,0.288,0.109,0.392,2017,"You In My Heart""]"
[47,0.72,0.399,0.0331,0.845,0.0887,0.356,2017,"Jaljayo Good Night""]"
[38,0.708,0.853,0.0844,0.0525,0.399,0.399,2017,"TT""]"
[31,0.621,0.829,0.232,0.12,0.16,0.742,2017,"1 TO 10""]"
[24,0.516,0.955,0.0529,0.17,0.751,0.827,2017,"PONYTAIL""]"
[30,0.703,0.891,0.124,0.111,0.343,0.855,2017,"JELLY JELLY""]"
[26,0.741,0.885,0.127,0.114,0.293,0.587,2017,"PIT-A-PAT""]"
[24,0.685,0.801,0.0448,0.0102,0.655,0.68,2017,"NEXT PAGE""]"
[35,0.599,0.732,0.0324,0.146,0.204,0.424,2017,"ONE IN A MILLION""]"
[51,0.673,0.968,0.131,0.0242,0.0586,0.476,2017,"KNOCK KNOCK""]"
[35,0.654,0.564,0.0366,0.475,0.114,0.229,2017,"Ice Cream""]"
[51,0.708,0.853,0.0844,0.0525,0.399,0.399,2017,"TT""]"
[39,0.621,0.829,0.232,0.12,0.16,0.742,2017,"1 TO 10""]"
[25,0.516,0.955,0.0529,0.17,0.751,0.827,2017,"PONYTAIL""]"
[41,0.703,0.891,0.124,0.111,0.343,0.855,2017,"JELLY JELLY""]"
[30,0.741,0.885,0.127,0.114,0.293,0.587,2017,"PIT-A-PAT""]"
[27,0.685,0.801,0.0448,0.0102,0.655,0.68,2017,"NEXT PAGE""]"
[44,0.599,0.732,0.0324,0.146,0.204,0.424,2017,"ONE IN A MILLION""]"
[61,0.672,0.968,0.131,0.0243,0.0587,0.473,2017,"Knock Knock""]"
[50,0.656,0.573,0.0369,0.451,0.113,0.235,2017,"Ice Cream""]"
[47,0.713,0.86,0.0891,0.0463,0.434,0.35,2017,"TT""]"
[36,0.718,0.84,0.225,0.133,0.166,0.735,2017,"1 To 10""]"
[30,0.507,0.952,0.055,0.164,0.79,0.815,2017,"Ponytail""]"
[33,0.704,0.898,0.0794,0.105,0.324,0.849,2017,"Jelly Jelly""]"
[31,0.664,0.889,0.168,0.125,0.291,0.582,2017,"Pit-a-Pat""]"
[31,0.686,0.805,0.0571,0.00871,0.623,0.662,2017,"Next Page""]"
[37,0.599,0.732,0.033,0.149,0.199,0.45,2017,"One In A Million""]"
[68,0.708,0.852,0.0851,0.0525,0.399,0.396,2016,"TT""]"
[50,0.621,0.839,0.271,0.109,0.167,0.701,2016,"1 To 10""]"
[39,0.516,0.948,0.0559,0.186,0.846,0.776,2016,"Ponytail""]"
[47,0.705,0.889,0.13,0.115,0.325,0.884,2016,"Jelly Jelly""]"
[40,0.662,0.882,0.144,0.124,0.318,0.612,2016,"Pit-a-Pat""]"
[41,0.687,0.805,0.0463,0.00995,0.653,0.676,2016,"Next Page""]"
[53,0.601,0.733,0.0338,0.158,0.226,0.421,2016,"One In A Million""]"
[47,0.773,0.907,0.125,0.138,0.332,0.779,2022,"Talk that Talk""]"
[26,0.665,0.845,0.108,0.106,0.0722,0.814,2022,"Queen of Hearts""]"
[26,0.782,0.798,0.218,0.251,0.15,0.585,2022,"Basics""]"
[22,0.756,0.875,0.127,0.0516,0.0439,0.57,2022,"Trouble""]"
[23,0.637,0.882,0.0478,0.078,0.166,0.64,2022,"Brave""]"
[21,0.714,0.8,0.0741,0.329,0.0555,0.833,2022,"Gone""]"
[22,0.681,0.658,0.0811,0.346,0.109,0.551,2022,"When We Were Kids""]"
[66,0.776,0.89,0.0573,0.0628,0.0634,0.864,2022,"Celebrate""]"
[56,0.609,0.762,0.0785,0.0472,0.407,0.346,2022,"Just be yourself""]"
[53,0.652,0.855,0.0754,0.0989,0.513,0.782,2022,"I CAN'T STOP ME - Japanese ver.""]"
[52,0.709,0.77,0.0411,0.0482,0.155,0.469,2022,"CRY FOR ME - Japanese ver.""]"
[52,0.683,0.925,0.0553,0.0336,0.11,0.669,2022,"Alcohol-Free - Japanese ver.""]"
[50,0.791,0.866,0.0597,0.0459,0.137,0.672,2022,"SCIENTIST - Japanese ver.""]"
[45,0.791,0.866,0.0597,0.0459,0.137,0.672,2022,"SCIENTIST - Japanese ver.""]"
[11,0.795,0.86,0.0624,0.0371,0.0554,0.606,2022,"The Feels (Benny Benassi Remix)""]"
[14,0.808,0.903,0.0729,0.0899,0.0816,0.922,2022,"The Feels""]"
[1,0.777,0.794,0.147,0.0832,0.0349,0.679,2022,"The Feels (The Stereotypes Remix)""]"
[1,0.78,0.828,0.0678,0.00771,0.317,0.553,2022,"The Feels (YVES V Remix)""]"
[1,0.816,0.681,0.041,0.000394,0.062,0.9,2022,"The Feels (Instrumental)""]"
[1,0.835,0.884,0.0693,0.01,0.635,0.95,2022,"The Feels (Benny Benassi Remix Extended)""]"
[0,0.819,0.626,0.0465,0.00269,0.0784,0.684,2022,"The Feels (The Stereotypes Remix Instrumental)""]"
[1,0.781,0.83,0.0383,0.000238,0.102,0.176,2022,"The Feels (YVES V Remix Instrumental)""]"
[1,0.76,0.856,0.0379,0.0309,0.0677,0.49,2022,"The Feels (Benny Benassi Remix Instrumental)""]"
[53,0.693,0.586,0.0315,0.233,0.145,0.459,2021,"Doughnut""]"
[58,0.611,0.578,0.0335,0.395,0.168,0.547,2021,"Wonderful Day""]"
[37,0.624,0.477,0.0302,0.0221,0.185,0.345,2021,"Doughnut (Instrumental)""]"
[29,0.568,0.59,0.0298,0.198,0.17,0.436,2021,"Wonderful Day (Instrumental)""]"
[12,0.693,0.586,0.0315,0.233,0.145,0.459,2021,"Doughnut""]"
[17,0.611,0.578,0.0335,0.395,0.168,0.547,2021,"Wonderful Day""]"
[2,0.624,0.477,0.0302,0.0221,0.185,0.345,2021,"Doughnut (Instrumental)""]"
[2,0.568,0.59,0.0298,0.198,0.17,0.436,2021,"Wonderful Day (Instrumental)""]"
[69,0.693,0.586,0.0315,0.233,0.145,0.459,2021,"Doughnut""]"
[27,0.796,0.86,0.0623,0.0374,0.0557,0.603,2021,"The Feels - Benny Benassi Remix""]"
[28,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[25,0.777,0.793,0.148,0.0815,0.0363,0.674,2021,"The Feels - The Stereotypes Remix""]"
[22,0.78,0.828,0.068,0.00771,0.317,0.553,2021,"The Feels - YVES V Remix""]"
[15,0.816,0.681,0.041,0.000394,0.062,0.9,2021,"The Feels - Instrumental""]"
[12,0.834,0.885,0.0692,0.00993,0.634,0.947,2021,"The Feels - Benny Benassi Remix Extended""]"
[10,0.818,0.628,0.048,0.00265,0.0782,0.673,2021,"The Feels - The Stereotypes Remix Instrumental""]"
[10,0.781,0.83,0.0383,0.000238,0.102,0.176,2021,"The Feels - YVES V Remix Instrumental""]"
[7,0.758,0.855,0.0382,0.0314,0.0616,0.487,2021,"The Feels - Benny Benassi Remix Instrumental""]"
[40,0.793,0.861,0.06,0.0378,0.0557,0.607,2021,"The Feels (Benny Benassi Remix)""]"
[63,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[36,0.777,0.795,0.147,0.0828,0.0353,0.679,2021,"The Feels (The Stereotypes Remix)""]"
[37,0.78,0.828,0.0678,0.00771,0.317,0.553,2021,"The Feels (YVES V Remix)""]"
[33,0.816,0.681,0.041,0.000394,0.062,0.9,2021,"The Feels (Instrumental)""]"
[25,0.835,0.883,0.0697,0.00988,0.634,0.948,2021,"The Feels (Benny Benassi Remix Extended)""]"
[26,0.817,0.628,0.0481,0.00259,0.0785,0.67,2021,"The Feels (The Stereotypes Remix � Instrumental)""]"
[26,0.781,0.83,0.0383,0.000238,0.102,0.176,2021,"The Feels (YVES V Remix � Instrumental)""]"
[21,0.76,0.855,0.0378,0.0306,0.0677,0.487,2021,"The Feels (Benny Benassi Remix � Instrumental)""]"
[56,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[29,0.777,0.793,0.148,0.0815,0.0363,0.674,2021,"The Feels - The Stereotypes Remix""]"
[21,0.78,0.828,0.068,0.00771,0.317,0.553,2021,"The Feels - YVES V Remix""]"
[13,0.816,0.681,0.041,0.000394,0.062,0.9,2021,"The Feels - Instrumental""]"
[10,0.818,0.628,0.048,0.00265,0.0782,0.673,2021,"The Feels - The Stereotypes Remix Instrumental""]"
[10,0.781,0.83,0.0383,0.000238,0.102,0.176,2021,"The Feels - YVES V Remix Instrumental""]"
[22,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[3,0.777,0.794,0.147,0.0832,0.0349,0.679,2021,"The Feels (The Stereotypes Remix)""]"
[3,0.78,0.828,0.0678,0.00771,0.317,0.553,2021,"The Feels (YVES V Remix)""]"
[1,0.816,0.681,0.041,0.000394,0.062,0.9,2021,"The Feels (Instrumental)""]"
[1,0.819,0.626,0.0465,0.00269,0.0784,0.684,2021,"The Feels (The Stereotypes Remix Instrumental)""]"
[1,0.781,0.83,0.0383,0.000238,0.102,0.176,2021,"The Feels (YVES V Remix Instrumental)""]"